BGC,SS_NoSpace,Spp,ESuit,Use,Changes
BWBSlb,BWBSlb/d,Acb,3,C4,added
BWBSlb,BWBSlb/f,Ep,3,D6,added
BWBSlb,BWBSlb/f,Bb,3,D6,
BWBSlb,BWBSlb/f,Sx,1,D6,
BWBSlb,BWBSlb/f,Acb,2,D6,added
BWBSlb,BWBSlb/f,At,3,D6,added
BWBSlf,BWBSlf/b,Pl,1,B2,
BWBSlf,BWBSlf/b,Sb,3,B2,2 to 3
BWBSlf,BWBSlf/b,Sx,5,B2,3 to 5
BWBSlf,BWBSlf/e,Acb,2,C4,
BWBSlf,BWBSlf/e,At,1,C4,
BWBSlf,BWBSlf/e,Bb,5,C4,
BWBSlf,BWBSlf/e,Bl,3,C4,
BWBSlf,BWBSlf/e,Ep,3,C4,
BWBSlf,BWBSlf/e,Pl,1,C4,
BWBSlf,BWBSlf/e,Sb,3,C4,5 to 3
BWBSlf,BWBSlf/e,Sx,1,C4,
BWBSlf,BWBSlf/i,Acb,2,D6,
BWBSlf,BWBSlf/i,At,1,D6,
BWBSlf,BWBSlf/i,Bb,5,D6,
BWBSlf,BWBSlf/i,Bl,3,D6,
BWBSlf,BWBSlf/i,Ep,3,D6,
BWBSlf,BWBSlf/i,Pl,2,D6,
BWBSlf,BWBSlf/i,Sx,1,D6,
BWBSmk,BWBSmk/101,Acb,3,C4,
BWBSmk,BWBSmk/101,At,1,C4,
BWBSmk,BWBSmk/101,Ep,2,C4,
BWBSmk,BWBSmk/101,Pl,1,C4,
BWBSmk,BWBSmk/101,Sb,3,C4,
BWBSmk,BWBSmk/101,Sx,1,C4,
BWBSmk,BWBSmk/102,At,3,B2,
BWBSmk,BWBSmk/102,Pl,2,B2,
BWBSmk,BWBSmk/102,Sb,3,B2,
BWBSmk,BWBSmk/102,Sx,5,B2,3 to 5
BWBSmk,BWBSmk/110,Acb,2,D6,
BWBSmk,BWBSmk/110,At,3,D6,
BWBSmk,BWBSmk/110,Ep,3,D6,
BWBSmk,BWBSmk/110,Pl,3,D6,2 to 3
BWBSmk,BWBSmk/110,Sb,3,D6,
BWBSmk,BWBSmk/110,Sx,1,D6,
BWBSmw,BWBSmw/101,Acb,3,C4,
BWBSmw,BWBSmw/101,At,1,C4,
BWBSmw,BWBSmw/101,Ep,3,C4,
BWBSmw,BWBSmw/101,Pl,1,C4,
BWBSmw,BWBSmw/101,Sb,3,C4,
BWBSmw,BWBSmw/101,Sx,1,C4,
BWBSmw,BWBSmw/102,At,3,B2,2 to 3
BWBSmw,BWBSmw/102,Pl,2,B2,
BWBSmw,BWBSmw/102,Sx,5,B2,3 to 5
BWBSmw,BWBSmw/111,Acb,2,D6,
BWBSmw,BWBSmw/111,At,3,D6,added
BWBSmw,BWBSmw/111,Ep,3,D6,added
BWBSmw,BWBSmw/111,Pl,3,D6,2 to 3
BWBSmw,BWBSmw/111,Sx,1,D6,
BWBSnm,BWBSnm/b,At,1,B2,
BWBSnm,BWBSnm/b,Ep,3,B2,
BWBSnm,BWBSnm/b,Pj,2,B2,
BWBSnm,BWBSnm/b,Sb,3,B2,
BWBSnm,BWBSnm/b,Sx,3,B2,1 to 3
BWBSnm,BWBSnm/d,Acb,3,C4,
BWBSnm,BWBSnm/d,At,1,C4,
BWBSnm,BWBSnm/d,Bb,3,C4,
BWBSnm,BWBSnm/d,Ep,3,C4,
BWBSnm,BWBSnm/d,Sb,3,C4,
BWBSnm,BWBSnm/d,Sx,1,C4,
BWBSnm,BWBSnm/f,Acb,2,D6,
BWBSnm,BWBSnm/f,At,2,D6,
BWBSnm,BWBSnm/f,Bb,3,D6,
BWBSnm,BWBSnm/f,Ep,3,D6,
BWBSnm,BWBSnm/f,Sx,1,D6,
BWBSpp,BWBSpp/a,Pj,1,B2,
BWBSpp,BWBSpp/a,Pl,1,B2,
BWBSpp,BWBSpp/d,Acb,3,C4,
BWBSpp,BWBSpp/d,At,1,C4,
BWBSpp,BWBSpp/d,Bb,3,C4,
BWBSpp,BWBSpp/d,Ep,3,C4,
BWBSpp,BWBSpp/d,Pl,1,C4,
BWBSpp,BWBSpp/d,Sb,3,C4,
BWBSpp,BWBSpp/d,Sx,1,C4,
BWBSpp,BWBSpp/f,Acb,2,D6,
BWBSpp,BWBSpp/f,At,2,D6,
BWBSpp,BWBSpp/f,Bb,3,D6,
BWBSpp,BWBSpp/f,Ep,2,D6,
BWBSpp,BWBSpp/f,Sx,1,D6,
BWBSub,BWBSub/a,Pj,1,B2,
BWBSub,BWBSub/d,Acb,3,C4,
BWBSub,BWBSub/d,At,3,C4,1 to 3
BWBSub,BWBSub/d,Bb,3,C4,
BWBSub,BWBSub/d,Ep,3,C4,
BWBSub,BWBSub/d,Pj,3,C4,
BWBSub,BWBSub/d,Sb,2,C4,
BWBSub,BWBSub/d,Sx,1,C4,
BWBSub,BWBSub/f,Acb,3,D6,
BWBSub,BWBSub/f,Bb,3,D6,
BWBSub,BWBSub/f,Sx,1,D6,
BWBSuf,BWBSuf/b,Pl,1,B2,
BWBSuf,BWBSuf/b,Sb,3,B2,
BWBSuf,BWBSuf/e,At,2,C4,
BWBSuf,BWBSuf/e,Bl,3,C4,
BWBSuf,BWBSuf/e,Pl,1,C4,
BWBSuf,BWBSuf/e,Sb,3,C4,
BWBSuf,BWBSuf/e,Sx,1,C4,
BWBSuf,BWBSuf/j,Acb,3,D6,
BWBSuf,BWBSuf/j,Bl,3,D6,
BWBSuf,BWBSuf/j,Pl,2,D6,
BWBSuf,BWBSuf/j,Sb,3,D6,
BWBSuf,BWBSuf/j,Sx,1,D6,
BWBSvk,BWBSvk/d,At,3,B2,added
BWBSvk,BWBSvk/d,Sx,1,B2,added
BWBSvk,BWBSvk/h,Sx,1,D6,added
BWBSvk,BWBSvk/m,Sx,1,C4,added
BWBSvk,BWBSvk/m,Ep,2,C4,added
BWBSvk,BWBSvk/h,Acb,1,D6,added
BWBSvk,BWBSvk/m,Acb,1,C4,added
BWBSwk1,BWBSwk1/101,At,2,C4,
BWBSwk1,BWBSwk1/101,Pl,1,C4,
BWBSwk1,BWBSwk1/101,Bl,3,C4,added
BWBSwk1,BWBSwk1/101,Sx,1,C4,
BWBSwk1,BWBSwk1/102,Pl,2,B2,
BWBSwk1,BWBSwk1/102,Sx,3,B2,
BWBSwk1,BWBSwk1/110,Acb,2,D6,
BWBSwk1,BWBSwk1/110,Pl,2,D6,
BWBSwk1,BWBSwk1/110,Sx,1,D6,
BWBSwk2,BWBSwk2/101,Acb,3,C4,
BWBSwk2,BWBSwk2/101,At,2,C4,
BWBSwk2,BWBSwk2/101,Bl,3,C4,
BWBSwk2,BWBSwk2/101,Ep,3,C4,
BWBSwk2,BWBSwk2/101,Pl,1,C4,
BWBSwk2,BWBSwk2/101,Sx,1,C4,
BWBSwk2,BWBSwk2/102,Pl,2,B2,
