BGC,Unit,Spp,ESuit
BWBSdm,BWBSdm/e,Acb,1
BWBSdm,BWBSdm/e,At,1
BWBSdm,BWBSdm/e,Bb,3
BWBSdm,BWBSdm/e,Ep,3
BWBSdm,BWBSdm/e,Sx,1
BWBSdm,BWBSdm/f,Acb,2
BWBSdm,BWBSdm/f,At,2
BWBSdm,BWBSdm/f,Bb,3
BWBSdm,BWBSdm/f,Ep,2
BWBSdm,BWBSdm/f,Pl,3
BWBSdm,BWBSdm/f,Sx,1
BWBSdm,BWBSdm/g,Pj,2
BWBSdm,BWBSdm/g,Pl,2
BWBSdm,BWBSdm/g,Sb,1
BWBSdm,BWBSdm/h,Ep,3
BWBSdm,BWBSdm/h,Sb,1
BWBSdm,BWBSdm/h,Sx,1
BWBSdm,BWBSdm/i,Sb,1
BWBSdm,BWBSdm/j,Lt,2
BWBSdm,BWBSdm/j,Sb,1
BWBSdm,BWBSdm/k,Lt,1
BWBSdm,BWBSdm/k,Sb,3
BWBSlb,BWBSlb/a,Pj,1
BWBSlb,BWBSlb/b,At,1
BWBSlb,BWBSlb/b,Ep,3
BWBSlb,BWBSlb/b,Pj,2
BWBSlb,BWBSlb/b,Sb,3
BWBSlb,BWBSlb/b,Sx,2
BWBSlb,BWBSlb/c,At,3
BWBSlb,BWBSlb/c,Pj,1
BWBSlb,BWBSlb/c,Sb,1
BWBSlb,BWBSlb/d,Acb,3
BWBSlb,BWBSlb/d,At,1
BWBSlb,BWBSlb/d,Bb,3
BWBSlb,BWBSlb/d,Ep,3
BWBSlb,BWBSlb/d,Pj,3
BWBSlb,BWBSlb/d,Sb,2
BWBSlb,BWBSlb/d,Sx,1
BWBSlb,BWBSlb/e,At,3
BWBSlb,BWBSlb/e,Bb,2
BWBSlb,BWBSlb/e,Ep,2
BWBSlb,BWBSlb/e,Sx,1
BWBSlb,BWBSlb/f,Bb,3
BWBSlb,BWBSlb/f,Sx,1
BWBSlb,BWBSlb/g,Pj,2
BWBSlb,BWBSlb/g,Sb,1
BWBSlb,BWBSlb/h,Sb,1
